R_stu,I_stu,A_stu,S_stu,E_stu,C_stu,R_voc,I_voc,A_voc,S_voc,E_voc,C_,Hitrate,Firstcodepercentage,Twocodespercentage,Decliningrate,Delayrate,StudySuspensionrate,TotalSuspensionrate,Dropoutrate,Dropoutrate_interest,dropoutrateduetointerest,salaryafter3yr_00schyr_master,salaryafter3yr_00schyr_bachelor,emplorateafter3yr_00schyr_master,emplorateafter3yr_00schyr_bachelor,emplorateGrowthratebysch,salarychangesbysch,emplorateGrowthratebysyr,salarychangesbyyr,salary_mas_vs_bach,emplorate_mas_vs_bach
0,0,1,1,0,0,0,0,1,1,0,0,6,0.36,0.21,0.102508961,0.075812274,0.069805195,0.173701299,0.028409091,0.024621212,0.005681818,55646,32146,0.8457,0.8159,0.0163,326.25,0.0154,2303,1.731039632,1.036524084
1,1,0,0,0,0,1,1,0,0,0,0,6,0.44,0.44,-0.159550492,0.033232628,0.026806112,0.051906245,0.032075472,0.024528302,0.011320755,56995,34438,0.9652,0.8212,-0.0127,7497.5,0.0083,5098,1.655003194,1.175353142
0,0,1,1,0,0,0,0,1,1,1,1,4,0.27,0.15,0.056565986,0.048780488,0.055555556,0.095959596,0.030651341,0.022988506,0.005747126,45886,31111,0.8489,0.8639,0.0657,217.67,0.046,2670,1.47491241,0.982636879
0,0,0,1,1,1,0,0,0,0,1,1,5,0.71,0.54,-0.132312944,0.024147727,0.039041096,0.088356164,0.025592417,0.019905213,0.002843602,48024,30451,0.9222,0.8843,-0.0123,345.17,0.034,3898,1.577091064,1.042858758
1,1,0,0,0,0,1,1,0,0,0,0,6,0.57,0.57,-0.184785354,0.013157895,0.010576306,0.037203183,0.027350427,0.025641026,0.003418803,62298,31680,0.9653,0.8843,0.0158,3247.17,0.0223,5212,1.966477273,1.091597874
1,1,0,0,0,0,1,1,0,0,0,0,6,0.6,0.6,-0.169959861,0.005830904,0.020114943,0.043103448,0.021786492,0.017429194,0.006535948,62298,31680,0.9653,0.8843,0.0158,3247.17,0.0223,5212,1.966477273,1.091597874
1,1,0,0,0,0,1,1,0,0,0,0,6,0.77,0.69,-0.197245439,0.025889968,0.038167939,0.066793893,0.026132404,0.022648084,0.010452962,60185,36818,0.9085,0.7526,0.03,591.67,0.0165,7399,1.634662393,1.207148552
0,0,1,1,1,0,0,0,1,1,0,0,5,0.39,0.22,-0.02465035,0.069148936,0.021164021,0.066137566,0.04368932,0.029126214,0.004854369,67037,32953,0.9112,0.8466,0.0008,3663.33,0.0062,2950,2.03432161,1.076305221
0,0,0,1,1,0,0,0,1,0,1,0,4,0.33,0.22,0.026546311,0.076923077,0.020930233,0.039534884,0.013953488,0.011627907,0.004651163,47891,35605,0.9136,0.8507,-0.0288,3054.75,0.0033,4175,1.345063896,1.073939109
1,1,0,0,0,0,1,1,0,0,0,0,6,0.36,0.36,-0.095083976,0.026819923,0.055555556,0.148148148,0.026946108,0.020958084,0.011976048,44064,28970,0.9532,0.8765,-0.0296,4588.15,0.0466,4716,1.521021747,1.087507131
1,1,0,0,0,0,0,1,0,0,0,1,4,0.59,0.32,-0.171505152,0.026258206,0.035940803,0.068710359,0.03196347,0.02283105,0.00456621,62298,31680,0.9653,0.8843,0.0158,3247.17,0.0223,5212,1.966477273,1.091597874
1,0,0,0,0,1,0,1,0,0,0,1,4,0.44,0.25,-0.173261741,0.021226415,0.030266344,0.069007264,0.044585987,0.038216561,0.010615711,60184,30676,0.9302,0.8803,0.0231,810,0.0145,2621,1.961924632,1.056685221
1,1,0,0,0,0,1,1,0,0,0,0,6,0.55,0.46,-0.147369195,0.027980535,0.037509436,0.080804964,0.025429116,0.019071837,0.005085823,62298,31680,0.9653,0.8843,0.0158,3247.17,0.0223,5212,1.966477273,1.091597874
0,0,1,1,1,0,0,0,1,0,1,0,5,0.5,0.25,-0.023767753,0.121546961,0.032967033,0.068681319,0.024725275,0.021978022,0.008241758,50516,32518,0.8065,0.7119,-0.0741,-3712.6,0.0173,3261,1.553478074,1.132883832
1,1,0,0,0,0,1,1,0,0,0,0,6,0.48,0.44,-0.111725576,0.017647059,0.023993808,0.053405573,0.027089783,0.023993808,0.007739938,52645,32010,0.9564,0.9041,0.0041,-581,0.0112,5193,1.644642299,1.057847583
1,1,0,0,0,1,0,1,0,0,0,1,5,0.45,0.25,-0.164671963,0.057915058,0.035743127,0.086384131,0.021428571,0.021428571,0.004761905,50944,33268,0.9042,0.7735,0.1107,-84.75,0.0147,3756,1.53132139,1.168972204
1,1,0,0,0,0,1,0,0,0,1,1,3,0.43,0.29,-0.225628984,0.019971469,0.028694405,0.078909613,0.033527697,0.032069971,0.00728863,42716,31152,0.9369,0.8844,0.0578,1762.8,0.0017,3280,1.371212121,1.05936228
0,0,1,1,0,0,0,0,1,1,0,0,6,0.36,0.21,-0.022883598,0.067092652,0.039432177,0.137223975,0.031657356,0.031657356,0.005586592,55646,32146,0.8457,0.8159,0.0163,326.25,0.0154,2303,1.731039632,1.036524084
1,1,0,0,0,0,1,1,0,0,0,0,6,0.56,0.33,-0.154487268,0.007915567,0.014469453,0.035369775,0.023474178,0.023474178,0.004694836,54061,35251,0.9551,0.8842,-0.0079,3279.7,0.0558,3865,1.533601884,1.080185478
1,1,0,0,0,0,1,1,0,0,0,0,6,0.44,0.44,-0.223982095,0.00952381,0.023340796,0.04496405,0.029411765,0.029411765,0.003676471,56995,34438,0.9652,0.8212,-0.0127,7497.5,0.0083,5098,1.655003194,1.175353142
1,1,0,0,0,0,1,1,0,0,0,0,6,0.33,0.33,-0.125899844,0.018726592,0.058422175,0.12196162,0.033613445,0.033613445,0.008403361,41235,32106,0.9067,0.6571,0.0225,9128.33,0.024,3242,1.284339376,1.37985086
1,1,0,0,0,0,1,1,0,0,0,0,6,0.5,0.5,-0.433939394,0,0.030677656,0.043498168,0.090909091,0.090909091,0,39621,28972,0.9083,0.8297,0.0179,-5907.25,-0.0086,3662,1.367561784,1.094733036
1,1,0,0,0,0,1,1,0,0,0,0,6,0.57,0.57,-0.21528184,0.007407407,0.035460993,0.086288416,0.050653595,0.050653595,0.008169935,62298,31680,0.9653,0.8843,0.0158,3247.17,0.0223,5212,1.966477273,1.091597874
1,1,0,0,0,0,1,1,0,0,0,0,6,0.25,0.25,-0.177509214,0.04950495,0.047524517,0.090880216,0.023255814,0.020671835,0.005167959,43830,33686,0.9632,0.791,-0.0442,3394.67,0.0381,2489,1.301134002,1.217699115
1,1,0,0,0,0,1,1,0,0,0,0,6,0.77,0.69,-0.113869798,0.041899441,0.028328612,0.055240793,0.027536232,0.024637681,0.010144928,60185,36818,0.9085,0.7526,0.03,591.67,0.0165,7399,1.634662393,1.207148552
0,0,1,1,1,0,0,0,1,1,0,0,5,0.39,0.22,-0.114500661,0.007194245,0.054187192,0.157635468,0.060913706,0.050761421,0.010152284,50769,34870,0.9034,0.8677,-0.022,-31.67,0.0166,3035,1.455950674,1.041143252
0,0,1,1,0,0,0,0,1,1,1,1,4,0.27,0.15,-0.000626566,0.047619048,0.023622047,0.051181102,0.064,0.064,0.032,45886,31111,0.8489,0.8639,0.0657,217.67,0.046,2670,1.47491241,0.982636879
0,0,0,0,1,1,0,0,0,0,1,1,6,0.5,0.43,-0.150131724,0.020356234,0.018324607,0.041884817,0.011278195,0.011278195,0.003759398,47774,32461,0.9382,0.8844,0.0904,2515.17,0.0345,4297,1.471735313,1.060832203
1,1,0,0,0,0,1,1,0,0,0,0,6,0.71,0.71,-0.170556172,0.022522523,0.04076087,0.123641304,0.037891269,0.036243822,0.006589786,62298,31680,0.9653,0.8843,0.0158,3247.17,0.0223,5212,1.966477273,1.091597874
0,0,0,0,1,1,0,0,0,0,1,1,6,0.36,0.36,-0.022272272,0.049180328,0.02233677,0.032646048,0.01734104,0.011560694,0,47891,35605,0.9136,0.8507,-0.0288,3054.75,0.0033,4175,1.345063896,1.073939109
1,1,0,0,0,0,0,1,0,0,0,1,4,0.59,0.32,-0.209953192,0.008629989,0.026572668,0.063449024,0.018080668,0.015994437,0.001390821,62298,31680,0.9653,0.8843,0.0158,3247.17,0.0223,5212,1.966477273,1.091597874
1,0,0,0,0,1,0,1,0,0,0,1,4,0.44,0.25,-0.144043126,0.031796502,0.027240773,0.054481547,0.025477707,0.024203822,0.002547771,60184,30676,0.9302,0.8803,0.0231,810,0.0145,2621,1.961924632,1.056685221
1,1,0,0,0,0,1,1,0,0,0,0,6,0.55,0.46,-0.182623641,0.009102731,0.027659574,0.081560284,0.025380711,0.023205221,0.005076142,62298,31680,0.9653,0.8843,0.0158,3247.17,0.0223,5212,1.966477273,1.091597874
1,1,0,0,0,0,1,1,0,0,0,0,6,0.48,0.44,-0.181186989,0.023679417,0.036678964,0.083178786,0.02720403,0.025692695,0.002015113,52645,32010,0.9564,0.9041,0.0041,-581,0.0112,5193,1.644642299,1.057847583
0,0,1,1,0,0,0,0,1,1,0,0,6,0.36,0.21,-0.051990553,0.048192771,0.07480315,0.155511811,0.055970149,0.055970149,0.007462687,55646,32146,0.8457,0.8159,0.0163,326.25,0.0154,2303,1.731039632,1.036524084
1,1,0,0,0,0,1,1,0,0,0,0,6,0.56,0.33,-0.178135522,0.032258065,0.017628205,0.038461538,0.027896996,0.027896996,0.006437768,54061,35251,0.9551,0.8842,-0.0079,3279.7,0.0558,3865,1.533601884,1.080185478
1,1,0,0,0,0,1,1,0,0,0,0,6,0.44,0.44,-0.212015794,0.021875,0.028571429,0.071428571,0.04851752,0.04851752,0.029649596,56995,34438,0.9652,0.8212,-0.0127,7497.5,0.0083,5098,1.655003194,1.175353142
0,0,1,1,0,0,0,0,1,1,0,0,6,0.42,0.19,0.024030235,0.039274924,0.042721519,0.077531646,0.019417476,0.01618123,0.003236246,51172,32392,0.9478,0.8054,-0.0158,1138.75,0.0196,1348,1.579772783,1.176806556
0,0,1,1,0,0,0,0,1,1,1,1,4,0.27,0.15,-0.046995183,0.050179211,0.062102473,0.115371025,0.027253669,0.025157233,0.004192872,45886,31111,0.8489,0.8639,0.0657,217.67,0.046,2670,1.47491241,0.982636879
0,0,0,0,0,0,0,1,0,0,1,0,4,0.29,0.18,-0.124901829,0.005649718,0.058753702,0.120974566,0.043659044,0.041580042,0.004158004,50769,34870,0.9034,0.8677,-0.022,-31.67,0.0166,3035,1.455950674,1.041143252
0,0,0,1,1,1,0,0,0,0,1,1,5,0.71,0.54,-0.204139266,0.008431703,0.025790349,0.077371048,0.03131524,0.030271399,0.004175365,48024,30451,0.9222,0.8843,-0.0123,345.17,0.034,3898,1.577091064,1.042858758
1,1,0,0,0,0,1,1,0,0,0,0,6,0.25,0.25,-0.114332151,0.013953488,0.029448185,0.05222119,0.028871391,0.026246719,0.007874016,43830,33686,0.9632,0.791,-0.0442,3394.67,0.0381,2489,1.301134002,1.217699115
0,0,1,1,1,1,0,0,0,0,1,1,4,0.36,0.21,-0.051408026,0.00622665,0.107860732,0.226725964,0.049009385,0.044838373,0.003128259,74074,34554,0.8597,0.6386,0.0225,-59,0.024,4410,2.143717081,1.34622612
1,1,0,0,0,0,1,1,0,0,0,0,6,0.77,0.69,-0.131337788,0.07037037,0.035019455,0.06614786,0.03202847,0.028469751,0.007117438,60185,36818,0.9085,0.7526,0.03,591.67,0.0165,7399,1.634662393,1.207148552
0,0,0,1,1,1,0,1,0,1,0,0,3,0.59,0.18,-0.041937195,0.021582734,0.038596491,0.089473684,0.029569892,0.029569892,0.01344086,47556,32770,0.9697,0.91,-0.0026,2042.25,0.0043,2519,1.451205371,1.065604396
0,0,0,1,1,0,0,0,1,0,1,0,4,0.33,0.22,-0.11122058,0.055555556,0.046594982,0.111111111,0.040247678,0.040247678,0.003095975,48173,36402,0.8182,0.7395,0.044,1725.33,0.019,3208,1.323361354,1.106423259
0,0,1,1,0,0,0,0,1,1,0,0,6,0.64,0.36,-0.013731656,0.077868852,0.047340112,0.092340849,0.032258065,0.030107527,0.006451613,55445,35148,0.8462,0.8071,-0.0214,4103.5,0.0025,2730,1.577472402,1.04844505
0,0,0,0,1,1,0,0,0,0,1,1,6,0.5,0.43,-0.132482482,0.016427105,0.024577798,0.054251351,0.026785714,0.024553571,0.011160714,47774,32461,0.9382,0.8844,0.0904,2515.17,0.0345,4297,1.471735313,1.060832203
0,0,0,1,1,1,0,0,0,0,1,1,5,0.5,0.33,-0.170190203,0.00280112,0.053623188,0.107246377,0.040816327,0.040816327,0.004081633,61495,29722,0.8667,0.7608,-0.002,2698.75,0.0169,4164,2.069006123,1.139195584
1,1,0,0,0,0,1,1,0,0,0,0,6,0.71,0.71,-0.172423699,0.027950311,0.035691323,0.082305994,0.033492823,0.031100478,0.004784689,62298,31680,0.9653,0.8843,0.0158,3247.17,0.0223,5212,1.966477273,1.091597874
