types,Set,Sch_code,SCHOOL,Dep_code,department,Sch_dep_code,Sch_dep,groupnumber,groupname,groupname_number,subgroupnumber,subgroupname,subgroupname_number,Numofstudents,Numofteachers,Numofgraduates,Country,System,Teacherstudentratio,NumberofFirstgrade,NumberofSecondgrade,NumberofThirdgrade,NumberofFourthgrade,Numberofseniorsandabove,Numberofdelaypeople,Decliningrate,Delayrate,numberofteachers,assistantproratio,lecturersandaboveratio,lecturersandaboverationum,lecturersandabovenum,Pro_vs_AssociateProfessorandLecturer,Averagehoursperweek_rofessors,Averagehoursperweek_associateprofessor,Averagehoursperweek_assistantprofessors,Averagehoursperweek_lecturers,Averagehoursperweek_otherteachers,Graduationscore,Professionalcreditratio,General_commoncreditratio,Graduationprofessionalscore,GraduationGeneralCommonAcademicScores,Graduationinternshipscore,Graduationothergraduationscores,Collegestudentinterestcode,interestcodeR_stu,interestcodeI_stu,interestcodeA_stu,interestcodeS_stu,interestcodeE_stu,interestcodeC_stu,Hollandcode_two,interestcodeR_voc,interestcodeI_voc,interestcodeA_voc,interestcodeS_voc,interestcodeE_voc,interestcodeC_,Hitrate,Hollandcodefirst,Firstcodepercentage,Twocodespercentage,StudySuspensionrate,TotalSuspensionrate,Suspension_academic_interest,studentinSuspension,Suspension_semester,Suspension_semester_academic,Suspension_semester_interest,Suspension_semesterend,Suspension_semesterendr_academic,Suspension_semesterend_interest,Dropoutrate,Dropoutrate_interest,dropoutrateduetointerest,studentindropouts,dropouts,dropouts_academic,dropouts_interest,dropouts_overdue,dropouts_suspension,salaryafter3yr_99schyr_master,salaryafter3yr_99schyr_inservicemaster,salaryafter3yr_99schyr_bachelor,salaryafter3yr_99schyr_academicyear,salaryafter3yr_99schyr_dayspecialist,salaryafter3yr_99schyr_trainingspecialist,salaryafter4yr_99schyr_master,salaryafter4yr_99schyr_inservicemaster,salaryafter4yr_99schyr_bachelor,salaryafter4yr_99schyr_academicyear,salaryafter4yr_99schyr_dayspecialist,salaryafter4yr_99schyr_trainingspecialist,salaryafter3yr_00schyr_master,salaryafter3yr_00schyr_inservicemaster,salaryafter3yr_00schyr_bachelor,salaryafter3yr_00schyr_academicyear,salaryafter3yr_00schyr_dayspecialist,salaryafter3yr_00schyr_trainingspecialist,emplorateafter3yr_99schyr_master,emplorateafter3yr_99schyr_inservicemaster,emplorateafter3yr_99schyr_bachelor,emplorateafter3yr_99schyr_academicyear,emplorateafter3yr_99schyr_dayspecialist,emplorateafter3yr_99schyr_trainingspecialist,emplorateafter4yr_99schyr_master,emplorateafter4yr_99schyr_inservicemaster,emplorateafter4yr_99schyr_bachelor,emplorateafter4yr_99schyr_academicyear,emplorateafter4yr_99schyr_dayspecialist,emplorateafter4yr_99schyr_trainingspecialist,emplorateafter3yr_00schyr_master,emplorateafter3yr_00schyr_inservicemaster,emplorateafter3yr_00schyr_bachelor,emplorateafter3yr_00schyr_academicyear,emplorateafter3yr_00schyr_dayspecialist,emplorateafter3yr_00schyr_trainingspecialist,emplorateGrowthratebysch,salarychangesbysch,emplorateGrowthratebysyr,salarychangesbyyr,Holland_1_code,salary_mas_vs_bach,emplorate_mas_vs_bach
general,public,9,National Sun Yat-Sen University,2322005,Chinese Literature,902322005,Chinese Literature of National Sun Yat-Sen University,13,"Literature, History and Philosophy","13.Literature, History and Philosophy",84,Chinese Language and Literature,84.Chinese Language and Literature,277,19,60,50 Kaohsiung City,general,0.0686,60,60,62,79,11,21,0.102508961,0.075812274,21,0.904761905,0.904761905,19,19,0.777453839,7,0,9.29,0,0,128,0.421875,0.21875,54,28,0,46,AS,0,0,1,1,0,0,SA,0,0,1,1,0,0,6,A,0.36,0.21,0.069805195,0.173701299,0.066558442,616,43,24,0,107,41,0,0.028409091,0.024621212,0.005681818,528,15,3,3,2,5,52.56,80.014,31.029,30.97,,,55.031,81.433,33.926,33.393,,,55.646,78.315,32.146,29.771,,,0.8739,0.9708,0.8268,0.8768,,,0.8889,0.9679,0.8582,0.8949,,,0.8457,0.979,0.8159,0.8427,,,0.0163,0.32625,0.0154,2.303,A,1.731039632,1.036524084
general,public,9,National Sun Yat-Sen University,5311037,Chemistry,905311037,Chemistry of National Sun Yat-Sen University,3,"Mathematical,  Physics and Chemistry","3.Mathematical,  Physics and Chemistry",16,Chemistry,16.Chemistry,331,23,90,50 Kaohsiung City,general,0.0695,102,94,58,57,9,11,-0.159550492,0.033232628,23,1,1,23,23,2.397777778,9,11.58,8,0,0,128,0.5,0.21875,64,28,0,36,IR,1,1,0,0,0,0,IR,1,1,0,0,0,0,6,I,0.44,0.44,0.026806112,0.051906245,0.004716981,636,17,3,0,33,3,0,0.032075472,0.024528302,0.011320755,530,17,0,6,2,5,52.891,52.51,33.991,30.158,,,63.253,54.688,38.295,33.707,,,56.995,74.99,34.438,33.117,,,0.9605,1,0.8312,0.7647,,,0.9721,1,0.8528,0.7647,,,0.9652,0.9259,0.8212,0.8947,,,-0.0127,7.4975,0.0083,5.098,I,1.655003194,1.175353142
general,public,9,National Sun Yat-Sen University,2311006,Foreign Languages and Literature,902311006,Foreign Languages and Literature of National Sun Yat-Sen University,12,Foreign Languages,12.Foreign Languages,79,English Literature,79.English Literature,287,21,59,50 Kaohsiung City,general,0.0732,65,59,72,75,2,14,0.056565986,0.048780488,21,0.952380952,1,20,21,0.909301249,9.25,9.4,9.61,11,0,128,0.4453125,0.21875,57,28,0,43,AS,0,0,1,1,0,0,"SA,CE",0,0,1,1,1,1,4,A,0.27,0.15,0.055555556,0.095959596,0.035353535,594,33,16,1,57,20,1,0.030651341,0.022988506,0.005747126,522,16,1,3,4,4,47.592,68.581,30.313,34.68,25.862,33.818,49.715,70.862,33.103,36.733,27.346,39.109,45.886,70.527,31.111,34.138,25.044,35.446,0.8865,0.9857,0.8462,0.8512,0.462,0.8197,0.8972,0.9786,0.8694,0.8651,0.6645,0.8525,0.8489,0.9728,0.8639,0.8481,0.4773,0.4464,0.0657,0.21767,0.046,2.67,A,1.47491241,0.982636879
general,public,9,National Sun Yat-Sen University,4131021,Business Administration,904131021,Business Administration of National Sun Yat-Sen University,16,Management,16.Management,102,Business Administration,102.Business Administration,704,26,197,50 Kaohsiung City,general,0.0369,191,195,152,122,27,17,-0.132312944,0.024147727,26,1,1,26,26,1.844990548,7.52,11,9.58,0,0,140,0.492857143,0.2,69,28,0,43,ECS,0,0,0,1,1,1,EC,0,0,0,0,1,1,5,E,0.71,0.54,0.039041096,0.088356164,0.00890411,1460,57,7,0,129,13,0,0.025592417,0.019905213,0.002843602,1055,27,2,3,4,12,47.96,99.045,29.887,35.199,24.762,33.925,52.793,105.597,32.632,37.663,27.331,38.15,48.024,96.539,30.451,37.259,28.641,31.935,0.9263,0.9546,0.875,0.9019,0.5993,0.8782,0.9376,0.9485,0.8969,0.9006,0.75,0.9054,0.9222,0.9583,0.8843,0.8802,0.705,0.8591,-0.0123,0.34517,0.034,3.898,E,1.577091064,1.042858758
general,public,9,National Sun Yat-Sen University,7141054,Optoelectronic Engineering,907141054,Optoelectronic Engineering of National Sun Yat-Sen University,2,Engineering,2.Engineering,3,Optoelectronics,3.Optoelectronics,304,14,96,50 Kaohsiung City,general,0.0461,96,96,55,48,5,4,-0.184785354,0.013157895,14,1,1,14,14,1.694615385,11.2,9.83,12,0,0,139,0.489208633,0.201438849,68,28,0,43,RI,1,1,0,0,0,0,IR,1,1,0,0,0,0,6,I,0.57,0.57,0.010576306,0.037203183,0.001788909,559,6,0,0,21,1,0,0.027350427,0.025641026,0.003418803,585,16,4,2,1,8,56.046,80.246,30.849,34.305,25.63,33.016,68.887,86.921,35.771,37.564,28.137,34.081,62.298,84.755,31.68,34.913,28.66,37.269,0.9543,0.9729,0.88,0.924,0.7923,0.8649,0.969,0.974,0.9112,0.9358,0.8394,0.893,0.9653,0.9849,0.8843,0.8963,0.6714,0.8913,0.0158,3.24717,0.0223,5.212,I,1.966477273,1.091597874
general,public,9,National Sun Yat-Sen University,7112063,Materials and Optoelectronics,907112063,Materials and Optoelectronics of National Sun Yat-Sen University,2,Engineering,2.Engineering,11,Materials Engineering,11.Materials Engineering,343,19,98,50 Kaohsiung City,general,0.0554,108,105,58,56,14,2,-0.169959861,0.005830904,19,1,1,19,19,1.887280248,6.5,10.75,8.67,0,0,140,0.507142857,0.2,71,28,0,41,RI,1,1,0,0,0,0,IR,1,1,0,0,0,0,6,I,0.6,0.6,0.020114943,0.043103448,0,696,14,0,0,30,0,0,0.021786492,0.017429194,0.006535948,459,10,2,3,1,2,56.046,80.246,30.849,34.305,25.63,33.016,68.887,86.921,35.771,37.564,28.137,34.081,62.298,84.755,31.68,34.913,28.66,37.269,0.9543,0.9729,0.88,0.924,0.7923,0.8649,0.969,0.974,0.9112,0.9358,0.8394,0.893,0.9653,0.9849,0.8843,0.8963,0.6714,0.8913,0.0158,3.24717,0.0223,5.212,I,1.966477273,1.091597874
general,public,9,National Sun Yat-Sen University,5331038,Physics,905331038,Physics of National Sun Yat-Sen University,3,"Mathematical,  Physics and Chemistry","3.Mathematical,  Physics and Chemistry",17,Physics,17.Physics,309,21,92,50 Kaohsiung City,general,0.068,101,77,60,52,11,8,-0.197245439,0.025889968,21,1,1,21,21,2.444959444,8.9,11.2,7.63,0,0,128,0.453125,0.21875,58,28,0,42,IR,1,1,0,0,0,0,IR,1,1,0,0,0,0,6,I,0.77,0.69,0.038167939,0.066793893,0.005725191,524,20,3,0,35,3,0,0.026132404,0.022648084,0.010452962,574,15,0,6,4,3,57.053,79.256,32.837,,,,70.06,83.133,38.149,,,,60.185,73.918,36.818,,,,0.9362,1,0.7674,,,,0.9525,1,0.8006,,,,0.9085,0.9524,0.7526,,,,0.03,0.59167,0.0165,7.399,I,1.634662393,1.207148552
general,public,9,National Sun Yat-Sen University,3141013,Sociology,903141013,Sociology of National Sun Yat-Sen University,10,Social and Psychology,10.Social and Psychology,67,Sociology,67.Sociology,188,11,37,50 Kaohsiung City,general,0.0585,44,52,40,39,0,13,-0.02465035,0.069148936,11,1,1,11,11,1.384615385,6.9,6.5,9.4,0,0,128,0.265625,0.21875,34,28,0,66,EAS,0,0,1,1,1,0,SA,0,0,1,1,0,0,5,S,0.39,0.22,0.021164021,0.066137566,0.010582011,378,8,1,0,25,4,0,0.04368932,0.029126214,0.004854369,206,9,2,1,2,1,61.633,73.218,31.375,,,,65.024,74.249,35.802,,,,67.037,77.226,32.953,,,,0.9323,0.987,0.8208,,,,0.9139,0.9744,0.8703,,,,0.9112,0.98,0.8466,,,,0.0008,3.66333,0.0062,2.95,S,2.03432161,1.076305221
general,public,9,National Sun Yat-Sen University,4134010,Political Economy,904134010,Political Economy of National Sun Yat-Sen University,15,Law and Politics,15.Law and Politics,100,Political Science,100.Political Science,221,8,41,50 Kaohsiung City,general,0.0362,49,50,52,53,0,17,0.026546311,0.076923077,8,1,1,8,8,1.91047619,11.06,8,9.5,0,0,136,0.367647059,0.205882353,50,28,0,58,ES,0,0,0,1,1,0,EA,0,0,1,0,1,0,4,E,0.33,0.22,0.020930233,0.039534884,0,430,9,0,0,17,0,0,0.013953488,0.011627907,0.004651163,430,6,1,2,0,2,45.02,73.259,34.767,34.288,,,50.19,78.667,39.562,35.613,,,47.891,81.947,35.605,34.11,,,0.8502,0.9357,0.8472,0.92,,,0.8742,0.9007,0.8708,0.9205,,,0.9136,0.9701,0.8507,0.9339,,,-0.0288,3.05475,0.0033,4.175,E,1.345063896,1.073939109
general,public,9,National Sun Yat-Sen University,7122065,Marine Environment and Engineering,907122065,Marine Environment and Engineering of National Sun Yat-Sen University,7,Earth and Environment,7.Earth and Environment,50,Marine Science,50.Marine Science,261,14,57,50 Kaohsiung City,general,0.0536,67,63,62,49,13,7,-0.095083976,0.026819923,14,1,1,14,14,1.643371758,11.42,10.39,12.88,0,0,128,0.5078125,0.21875,65,28,0,35,IR,1,1,0,0,0,0,IR,1,1,0,0,0,0,6,I,0.36,0.36,0.055555556,0.148148148,0.025925926,540,30,5,0,80,12,2,0.026946108,0.020958084,0.011976048,334,9,0,4,1,2,43.921,69.413,28.706,31.691,19.107,,50.567,71.502,31.849,34.33,28.171,,44.064,66.51,28.97,33.079,,,0.952,0.9818,0.8982,0.9234,0.8,,0.969,0.9758,0.913,0.9307,1,,0.9532,0.9892,0.8765,0.9439,,,-0.0296,4.58815,0.0466,4.716,I,1.521021747,1.087507131
