Var1,Freq
Parent education,51
Early childhood education,44
Educational administration,43
Educational philosophy,39
Curriculum and teaching,35
Special education,34
Educational sociology,33
Early treatment,27
Class management,27
Gifted education,27
Educational psychology,26
Smart barrier,26
Learning Disability,25
Child development,24
Comparative education,23
School administration,20
education policy,18
Qualitative research,18
Autism,17
Multicultural education,16
Educational research law,14
psychology,13
Toddler games,13
Educational evaluation,13
Digital learning,13
Hearing disorder,13
Child welfare,12
Emotional disorder,12
Education statistics,12
Curriculum development and design,12
Counseling,12
Early childhood development,11
Early childhood art,11
Children's literature,11
Life education,10
Teacher development,10
Special early childhood education,10
Higher education,10
History of education,10
Introduction to education,10
Teaching principle,10
Visual impairment,10
Preschool literature,9
Multiple obstacles,9
Auxiliary technology,9
Application behavior analysis,9
Early childhood learning environment design,8
Teaching material,8
Education technology,8
Educational test and assessment,8
Teacher professional development,8
creativity,8
Developmental psychology,8
inclusive education,8
Infant massage,8
human resource Management,7
Early childhood care,7
Kindergarten administration,7
Early childhood curriculum and teaching,7
sociology,7
Physical disorder,7
Emotional behavior disorder,7
Test evaluation,7
Test and assessment,7
Montessori teaching,7
Curriculum theory,7
Preschool special education,7
Child care counseling,6
Child drama,6
Early childhood administration,6
Multiculturalism,6
Adult education,6
administrative law,6
Children's industry,6
Gender education,6
family Education,6
Educational policy analysis,6
Education,6
Information education,6
Excellent,6
Course Design,6
Course evaluation,6
Qualitative research,6
Secondary education,5
Toddler music,5
Children's textbook teaching method,5
Preschool curriculum,5
Preschool education and teaching,5
Severe disorder,5
Music therapy,5
Professional ethics,5
Educational politics,5
Educational leadership,5
Professional education ethics,5
Communication barrier,5
Gifted,5
Cognitive psychology,5
Coaching principle and practice,5
Preschool integration education,5
constitution,5
Infant care,5
Keyboard music,5
Artificial intelligence,4
Kindergarten management and management,4
Infant mathematics,4
Physiology,4
Behavior change technology,4
Action research,4
Children's games,4
Knowledge management,4
social work,4
Research methods,4
scientific education,4
Special education administration,4
National Primary School Teaching Internship,4
education,4
Education administration and management,4
Education regulations,4
Educational thought,4
Introduction to education,4
Teaching technology,4
Instructional design,4
Teaching assessment,4
statistics,4
Mental retardation,4
Quantitative Study,4
Sensory integration,4
Game therapy,4
moral education,4
Montessori Education,4
Mathematics Education,4
Health education,4
Reading teaching,4
School management and management,4
Art therapy,4
Interpersonal relationship and communication,3
Human rights education,3
Continental education,3
Public health,3
Psychological and educational test,3
Early childhood multicultural education,3
Child behavior observation,3
Child sex education,3
Early childhood science education,3
Child care,3
Early childhood music education,3
Child health and safety,3
Early childhood development and conservation,3
Children's language,3
Early childhood curriculum design,3
Early childhood curriculum development,3
Early childhood policy,3
Kindergarten curriculum design,3
Civil law,3
Multiple intelligence theory,3
Behavioral mood,3
Marketing management,3
Western education history,3
Mental and physical disability welfare,3
Child behavior counseling,3
Children's philosophy,3
Child cognitive development,3
Physiotherapy,3
Activity Design,3
Technical aids,3
Teaching English,3
musical education,3
Ethics,3
Teacher education,3
Principal,3
Special child education,3
Introduction to Special Education,3
Special administration,3
Healthy behavior,3
Health promotion,3
Maternal and child care,3
Affection education,3
Educational anthropology,3
Educational psychology,3
Educational administration,3
Education law,3
Educational law,3
Educational policy and administration,3
Educational finance,3
Educational statistics,3
Educational economics,3
Educational Practice,3
Teaching psychology,3
Teaching theory,3
Organizational behavior,3
Creativity education,3
Creative teaching,3
Test preparation,3
E-commerce,3
Montessori Education,3
language disability,3
Post-school education,3
Course history,3
Course teaching,3
Dyslexia,3
Preschool education,3
Infant education,3
Infant game,3
Infant nutrition and meals,3
Functional therapy,3
Identification assessment,3
Human resource development,2
Personality psychology,2
Interpersonal relationship,2
Human development,2
Moderate to severe disorder,2
Mainland China Education,2
Chinese education history,2
Interface design,2
Public policy,2
public relationship,2
Psychological assessment,2
Sign language teaching,2
Cultural anthropology,2
Cultural administration,2
Culture and education business management and management,2
Japanese education,2
Subject teaching,2
Classics,2
Child care institution management and management,2
Child psychology,2
Early childhood physiology,2
Child character education,2
Preschool rhythm,2
Early childhood science,2
Preschool class management,2
Early childhood education,2
Introduction to Early Childhood Education,2
Early childhood teaching,2
Infant creativity,2
Early childhood development assessment,2
Early childhood development and assessment,2
Early childhood development and learning,2
Kindergarten education and maintenance activities curriculum design,2
Kindergarten evaluation,2
Kindergarten counseling,2
Kindergarten curriculum development,2
Kindergarten curriculum and teaching,2
Young children and families,2
Childhood cognitive development,2
Early childhood language development and teaching,2
Infant language,2
Early childhood language development,2
Early childhood curriculum,2
Child reading,2
Child learning assessment,2
Early childhood learning environment planning,2
Bilingual education for children,2
Early childhood art teaching,2
Early childhood sports,2
Childhood physical fitness,2
Child observation,2
Early childhood policy and regulations,2
Child teacher training,2
Preschool evaluation,2
Early childhood curriculum theory and practice,2
Kindergarten administration,2
Positive behavior support,2
Career Planning,2
Career counseling,2
Physiological psychology,2
Global education,2
Cooperative learning,2
Multimedia production,2
Nursery service,2
Evaluation of the institution,2
Occupational institution management,2
Baby-care practice,2
Administration,2
Administration,2
Action learning,2
Critical education,2
Child physiology,2
Children's American,2
Child development and family relationships,2
Child development assessment,2
Child assessment,2
Children's language barrier,2
Children's drama,2
Child clinical psychology,2
Primary education,2
Directional action,2
Gender study,2
Attention deficit hyperactivity disorder,2
Knowledge sociology,2
Social emotional development,2
Social Welfare,2
Performance art,2
Youth development and counseling,2
Babysitter technology,2
first aid,2
First aid,2
Policy sociology,2
Research method,2
Aesthetic education,2
British education,2
Music art,2
Aboriginal early childhood education,2
Aboriginal education,2
Family sociology,2
Consumer protection law,2
Special education administration and regulations,2
Special education technology,2
Special student identification and assessment,2
Financial Management,2
Philosophy of higher education,2
Regional geography,2
Regional research,2
National Education,2
Marriage and family,2
Educational psychology research,2
Educational administration,2
Educational reform,2
Education Act,2
educational Research,2
Educational research methodology,2
Educational aesthetics,2
Educational philosophy,2
Educational finance,2
Basic theory of education,2
Educational statistics and tests,2
Educational test,2
Educational test and statistics,2
Education management,2
Career planning,2
Education administration,2
Education design,2
Education Insurance Theory and Practice,2
Teacher sociology,2
Teacher professional growth,2
Teaching field,2
Teaching course,2
Ethnic relationship,2
Modern education,2
Ophthalmology,2
Eye movement research,2
Creativity teaching,2
Innovative teaching,2
Intellectual property rights,2
Disability benefits,2
Test statistics,2
Slow development,2
Communication training,2
Remedial teaching,2
Data exploration,2
Information technology integration teaching,2
Information literacy,2
Information management,2
Information integration teaching,2
Resource Integration,2
Computer aided instruction,2
Comprehensive activity teaching materials,2
Internet marketing,2
Online learning,2
Cognitive development,2
Chinese teaching,2
Chinese gifted education,2
Speech pathology,2
Language development and correction,2
Storytelling skills,2
Auxiliary communication system,2
Counseling and consultation,2
Mild disorder,2
Leadership theory and practice,2
Moral education principle,2
Digital teaching material,2
math education,2
Curriculum sociology,2
Course aesthetics,2
Curriculum philosophy,2
Course planning,2
Curriculum development,2
Course leader,2
Qualitative research,2
Reading psychology,2
Preschool fusion,2
School management,2
Schooling,2
School-age children's study counseling,2
Parent-child relationship and child development,2
Parental communication,2
Consultation theory,2
Piano teaching,2
Piano performance,2
Eugenics,2
Infant health care,2
Infant learning environment planning,2
Infant nutrition,2
Nutrition,2
Environmental education,2
Grade,2
Picture book teaching,2
Introduction to Art,2
Audiology,2
Hearing impairment education,2
Read and write development,2
AAC professional skills,1
GIS,1
IRT,1
IRT theory,1
RFID,1
UI/UX design,1
X-ray crystallography,1
General sports,1
Human Resources,1
Human resource development and management,1
Human Resources and Circulation Management Practice,1
Demographic Change and Social Policy,1
Preoperative auditory evaluation and postoperative FM of cochlear implant,1
Artificial intelligence application,1
Artificial electronic ear,1
Research on the Design and Development of Humanities and Art Courses,1
Personnel administration,1
Personality Traits,1
