Var1,Freq
網球,57
籃球,56
游泳,54
羽球,53
田徑,52
運動生理學,45
桌球,40
球類,37
排球,35
運動心理學,31
舞蹈,28
體操,26
運動生物力學,22
足球,20
體育,20
現代舞,17
體適能,17
運動訓練法,16
高爾夫,15
水上活動,13
運動教育學,13
運動管理學,13
體育史,13
中國舞,12
重量訓練,12
棒球,12
撞球,12
芭蕾,11
跆拳道,11
運動社會學,11
舞蹈編創,11
手球,10
芭蕾教學,9
柔道,9
國術,9
棒壘球,9
運動管理,9
運動醫學,9
舞蹈創作,9
適應體育,9
鋼琴,9
體育行政,9
武術,8
保齡球,8
創作,8
瑜珈,8
運動技能學習,8
運動哲學,8
體育學原理,8
太極拳,7
木球,7
運動生物力學與技術分析,7
運動行銷,7
運動訓練學,7
有氧舞蹈,6
射箭,6
教練學,6
現代舞教學,6
運動行銷學,6
運動處方,6
運動裁判法,6
舞蹈教育,6
體育行政管理,6
體育教學,6
中國舞教學,5
民俗體育,5
民族舞,5
防身術,5
直排輪,5
健康與體育教材教法,5
理論,5
運動休閒管理,5
運動教練學,5
舞蹈表演,5
橄欖球,5
體育科教材教法,5
體能訓練,5
人體解剖學,4
中國舞蹈史,4
民間舞蹈,4
休閒活動,4
技擊,4
肢體開發,4
表演,4
音樂伴奏,4
特殊體育,4
高爾夫球,4
健康與體育,4
健康與體育概論,4
健康體適能,4
術科,4
運動指導法,4
運動訓練,4
運動傷害防護,4
演出實習,4
舞蹈伴奏,4
壘球,4
藝術行政,4
韻律體操,4
體育研究法,4
體育原理,4
體適能指導,4
體適能與運動處方,4
人力資源管理,3
人體解剖生理學,3
中國舞蹈,3
心理學,3
民俗運動,3
生物力學,3
休閒遊憩,3
角力,3
物理治療,3
社會體育,3
空手道,3
芭蕾舞,3
音樂教學,3
拳擊,3
動作分析,3
統計學,3
裁判法,3
當代舞蹈,3
運動技術分析,3
運動倫理學,3
運動教學,3
運動傷害與防護,3
運動傷害與急救,3
運動賽會管理,3
運動觀光,3
慢速壘球,3
舞蹈音樂,3
劍道,3
擊劍,3
體育史學,3
體育課程設計,3
體育—學科,3
大一體育,2
大二體育,2
中國舞蹈技巧,2
戶外遊憩規劃與設計,2
水上安全與救生,2
水上救生,2
水上運動,2
水域活動,2
幼兒體育,2
民俗,2
民族舞教學,2
生物力學研究,2
休閒行銷,2
休閒服務,2
休閒教育,2
休閒運動管理,2
曲棍球,2
羽球運動,2
老化與身體活動,2
肌力訓練,2
西方舞蹈中階Ⅰ,2
拉邦動作分析,2
芭蕾中階,2
芭蕾初階,2
研究法,2
英語,2
浮士德球,2
浮士德球教練及裁判,2
特殊教育,2
特殊體育活動,2
高齡運動,2
健康心理學,2
健康促進,2
動作發展,2
國家級棒球教練,2
教育行政,2
教育學,2
教練心理學,2
現代舞技巧,2
球類運動,2
畢業製作,2
游泳教學,2
當代舞蹈技巧,2
當代舞蹈初階,2
解剖生理學,2
運動人類學,2
運動文化研究,2
運動防護,2
運動保健,2
運動按摩,2
運動按摩學,2
運動科學,2
運動科學領域,2
運動專長訓練(羽球),2
運動專長訓練(桌球),2
運動專長訓練(高爾夫),2
運動專長訓練(網球),2
運動情報蒐集,2
運動控制,2
運動教育,2
運動貼紮,2
運動傷害預防與處理,2
運動與健康管理,2
運動舞蹈,2
運動領導,2
運動學習,2
運動營養學,2
管理學,2
舞作排練,2
舞蹈名作,2
舞蹈技巧,2
舞蹈治療,2
舞蹈表演技法Ⅲ,2
舞蹈概論,2
舞蹈編導,2
潛水,2
談判技巧,2
適應體育研究,2
戰鬥有氧,2
營養學,2
醫學,2
警察行政,2
體育行政與管理,2
體育統計,2
體育測驗與統計,2
體操遊戲,2
IAAF國際教練證,1
MIDI,1
人因工程,1
人格權,1
人資管理,1
人體運動力學,1
力學應用臨床診斷與評估,1
久坐行為,1
土風舞,1
大型多功能體育場館營運管理,1
大專A級籃球教練,1
女子壘球,1
女壘,1
小號,1
中國文學,1
中國古典舞蹈,1
中國民族民間舞蹈,1
中國舞基本動作,1
中國舞蹈風格研究,1
中國戲曲武功身段,1
中華民族舞蹈,1
中醫傷科學,1
公文寫作,1
太極與冥想導論,1
少林武術,1
手球國手,1
